 ,Isolerad,Initial,Medial,Final,Namn,IPA
1,ا,,,ـا,ʾalif,"/aː/, /ʔ/"
2,ب,بـ,ـبـ,ـب,bāʾ,/b/
3,ت,تـ,ـتـ,ـت,tāʾ,/t/
4,ث,ثـ,ـثـ,ـث,thāʾ,/θ/
5,ج,جـ,ـجـ,ـج,jīm,/d͡ʒ/
6,ح,حـ,ـحـ,ـح,ḥāʾ,/ħ/
7,خ,خـ,ـخـ,ـخ,khāʾ,/x/
8,د,,,ـد,dāl,/d/
9,ذ,,,ـذ,dhāl,/ð/
10,ر,,,ـر,rāʾ,/r/
11,ز,,,ـز,zāy,/z/
12,س,سـ,ـسـ,ـس,sīn,/s/
13,ش,شـ,ـشـ,ـش,shīn,/ʃ/
14,ص,صـ,ـصـ,ـص,ṣād,/sˤ/
15,ض,ضـ,ـضـ,ـض,ḍād,/dˤ/
16,ط,طـ,ـطـ,ـط,ṭāʾ,/tˤ/
17,ظ,ظـ,ـظـ,ـظ,ẓāʾ,/ðˤ/
18,ع,عـ,ـعـ,ـع,ʿayn,/ʕ/
19,غ,غـ,ـغـ,ـغ,ghayn,/ɣ/
20,ف,فـ,ـفـ,ـف,fāʾ,/f/
21,ق,قـ,ـقـ,ـق,qāf,/q/
22,ك,كـ,ـكـ,ـك,kāf,/k/
23,ل,لـ,ـلـ,ـل,lām,/l/
24,م,مـ,ـمـ,ـم,mīm,/m/
25,ن,نـ,ـنـ,ـن,nūn,/n/
26,ه,هـ,ـهـ,ـه,hāʾ,/h/
27,و,,,ـو,wāw,"/w/, /uː/"
28,ي,يـ,ـيـ,ـي,yāʾ,"/j/, /iː/"